Trade Id,Exec Id,Account Id,Instrument Symbol,Instrument Name,Order Id,Currency,Execution Type,Quantity,Price,Take Profit,Stop Loss,gsl,Source,Status,rpl,Rpl Converted,Swap,Swap Converted,Fee,Timestamp,Account type
"00513301-0001-54c4-0000-00008028274d","00513301-0001-54c4-0000-49ff00000efe","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080283643","USD","GTC","0.4","1035","1035","","false","TP","CLOSED","0","0","","","0","2021-11-12 14:41:56","CFD"
"0001a04c-0000-5552-0000-000080120297","0001a04c-0000-5552-0000-49ff00000872","20154198461011282","ZAL","Zalando","0001a04c-0000-5552-0000-00008012031a","EUR","IOC","-10","76.59","80","","false","USER","CLOSED","4.7","4.7","","","0","2021-11-12 10:45:00","CFD"
"0018314c-0001-54c4-0000-000080241257","0018314c-0001-54c4-0000-49fe0000e032","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802416ab","USD","IOC","-10","11.19","","","false","USER","CLOSED","12","10.48","","","0","2021-11-11 22:52:10","CFD"
"0018314c-0001-54c4-0000-00008024134b","0018314c-0001-54c4-0000-49fe0000e033","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802416ab","USD","IOC","-35","11.19","","","false","USER","CLOSED","27.3","23.84","","","0","2021-11-11 22:52:10","CFD"
"0018314c-0001-54c4-0000-00008024134b","0018314c-0001-54c4-0000-49fe000022f9","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-00008024134a","USD","IOC","35","10.41","","","false","USER","OPENED","0","0","","","0","2021-11-11 14:34:45","CFD"
"00513301-0001-54c4-0000-0000802839d2","00513301-0001-54c4-0000-49fe00002314","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-0000802839d1","USD","IOC","0.6","1086.05","","","false","USER","OPENED","0","0","","","0","2021-11-11 14:34:22","CFD"
"0018314c-0001-54c4-0000-0000802412cd","0018314c-0001-54c4-0000-49fe00000f3f","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802412fb","USD","IOC","-35","10.5","","10.5","false","SL","CLOSED","0.35","0.31","","","0","2021-11-11 11:44:15","CFD"
"00513301-0001-54c4-0000-00008027e504","00513301-0001-54c4-0000-49fe0000125e","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080283425","USD","IOC","-0.6","1104.27","1350","","false","USER","CLOSED","20.56","17.92","","","0","2021-11-11 10:20:53","CFD"
"0018314c-0001-54c4-0000-0000802412cd","0018314c-0001-54c4-0000-49fe000005bf","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802412cc","USD","IOC","35","10.49","","","false","USER","OPENED","0","0","","","0","2021-11-11 09:33:47","CFD"
"00513301-0001-54c4-0000-00008028274d","00513301-0001-54c4-0000-49fd00007575","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080282749","USD","GTC","-0.4","1035","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-10 20:15:08","CFD"
"00513301-0001-54c4-0000-00008028274b","00513301-0001-54c4-0000-49fd00007571","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080282749","USD","GTC","-0.1","1035","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-10 20:15:08","CFD"
"00513301-0001-54c4-0000-0000802824bd","00513301-0001-54c4-0000-49fd000071ec","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-000080282620","USD","IOC","0.5","1032.98","","1032.79","false","SL","CLOSED","1.06","0.92","","","0","2021-11-10 19:49:27","CFD"
"0018314c-0001-54c4-0000-000080241257","0018314c-0001-54c4-0000-49fd00008975","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080241222","USD","GTC","10","9.99","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-10 19:45:10","CFD"
"00513301-0001-54c4-0000-0000802824bd","00513301-0001-54c4-0000-49fd00006d9d","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-0000802824b9","USD","GTC","-0.5","1035.09","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-10 19:35:49","CFD"
"0018314c-0001-54c4-0000-000080240d49","0018314c-0001-54c4-0000-49fc000094f2","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080240fa6","USD","IOC","-10","10.74","","","false","USER","CLOSED","5.4","4.66","","","0","2021-11-09 20:00:56","CFD"
"0018314c-0001-54c4-0000-000080240dc6","0018314c-0001-54c4-0000-49fc000094f3","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080240fa6","USD","IOC","-10","10.74","","","false","USER","CLOSED","7.4","6.38","","","0","2021-11-09 20:00:56","CFD"
"00513301-0001-54c4-0000-00008027e504","00513301-0001-54c4-0000-49fc0000624b","20154198461011282","TSLA","Tesla","00513301-0001-54c4-0000-00008027e4fa","USD","GTC","0.6","1070","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-09 16:38:20","CFD"
"0018314c-0001-54c4-0000-000080240dc6","0018314c-0001-54c4-0000-49fc000043a5","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802406e8","USD","GTC","10","10","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-09 14:56:33","CFD"
"0018314c-0001-54c4-0000-000080240d49","0018314c-0001-54c4-0000-49fc00002b5e","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802406e9","USD","GTC","10","10.2","","","false","SYSTEM","OPENED","0","0","","","0","2021-11-09 14:36:07","CFD"
"0004405d-0001-54c4-0000-00008024a64a","0004405d-0001-54c4-0000-49fc0000fb11","20154198461011282","ADA/USD","Cardano / USD","0004405d-0001-54c4-0000-0000802b33d4","USD","GTC","-273","2.29","2.29","","false","TP","CLOSED","-10.96","-9.45","","","0","2021-11-09 08:47:44","CFD"
"0004405d-0001-54c4-0000-00008024a64a","0004405d-0001-54c4-0000-49fc0000fb08","20154198461011282","ADA/USD","Cardano / USD","0004405d-0001-54c4-0000-0000802b33d1","USD","GTC","-2","2.29","2.29","","false","TP","CLOSED","-0.08","-0.07","","","0","2021-11-09 08:47:39","CFD"
"0004405d-0001-54c4-0000-00008024a64a","0004405d-0001-54c4-0000-49fc0000fafd","20154198461011282","ADA/USD","Cardano / USD","0004405d-0001-54c4-0000-0000802b3066","USD","GTC","-25","2.29","2.29","","false","TP","CLOSED","-1","-0.87","","","0","2021-11-09 08:47:34","CFD"
"0018314c-0001-54c4-0000-0000802402c1","0018314c-0001-54c4-0000-49fb000095de","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-0000802406e7","USD","IOC","-40","10.53","","","false","USER","CLOSED","48.8","42.11","","","0","2021-11-08 16:20:53","CFD"
"0018314c-0001-54c4-0000-0000802402c1","0018314c-0001-54c4-0000-49fb00002607","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-00008024022a","USD","IOC","40","9.31","","","false","USER","OPENED","0","0","","","0","2021-11-08 12:00:36","CFD"
"0001a04c-0000-5552-0000-000080120297","0001a04c-0000-5552-0000-49fb0000046b","20154198461011282","ZAL","Zalando","0001a04c-0000-5552-0000-000080120296","EUR","IOC","10","76.12","","","false","USER","OPENED","0","0","","","0","2021-11-08 08:22:15","CFD"
"0061241d-0001-54c4-0000-0000804656d8","0061241d-0001-54c4-0000-49fb00000d03","20154198461011282","XRP/USD","Ripple / USD","0061241d-0001-54c4-0000-00008046662f","USD","IOC","-500","1.25","1.8","","false","USER","CLOSED","12.44","10.76","","","0","2021-11-08 04:00:22","CFD"
"0061241d-0001-54c4-0000-0000804656d8","0061241d-0001-54c4-0000-49fa00001c17","20154198461011282","XRP/USD","Ripple / USD","0061241d-0001-54c4-0000-0000804656d6","USD","IOC","500","1.22","","","false","USER","OPENED","0","0","","","0","2021-11-07 14:24:35","CFD"
"0015421d-0001-54c4-0000-000081a0cb62","0015421d-0001-54c4-0000-49f90000ea74","20154198461011282","ETH/USD","Ethereum / USD","0015421d-0001-54c4-0000-000081a0d1dc","USD","IOC","-0.2","4481.8","4600","4455.73","false","USER","CLOSED","6.37","5.51","","","0","2021-11-06 19:50:38","CFD"
"0015421d-0001-54c4-0000-000081a0cb62","0015421d-0001-54c4-0000-49f90000d6dc","20154198461011282","ETH/USD","Ethereum / USD","0015421d-0001-54c4-0000-000081a0cb61","USD","IOC","0.2","4449.95","","","false","USER","OPENED","0","0","","","0","2021-11-06 18:37:29","CFD"
"003c31ce-0001-54c4-0000-00008022e87a","003c31ce-0001-54c4-0000-49f70000b3c7","20154198461011282","OCGN","Ocugen, Inc.","003c31ce-0001-54c4-0000-00008022eb9a","USD","IOC","-50","10.1","11.5","10.1","false","SL","CLOSED","14.5","12.56","","","0","2021-11-04 17:45:29","CFD"
"003c31ce-0001-54c4-0000-00008022e87a","003c31ce-0001-54c4-0000-49f70000a4a7","20154198461011282","OCGN","Ocugen, Inc.","003c31ce-0001-54c4-0000-00008022e879","USD","IOC","50","9.81","","","false","USER","OPENED","0","0","","","0","2021-11-04 16:43:55","CFD"
"0008e1cf-0001-54c4-0000-000080010115","0008e1cf-0001-54c4-0000-49f5000067c3","20154198461011282","BNGO","Bionano Genomics, Inc.","0008e1cf-0001-54c4-0000-0000800e00ab","USD","IOC","-20","6.11","","","false","USER","CLOSED","3.4","2.93","","","0","2021-11-02 15:31:43","CFD"
"0008e1cf-0001-54c4-0000-0000800600c6","0008e1cf-0001-54c4-0000-49f5000067be","20154198461011282","BNGO","Bionano Genomics, Inc.","0008e1cf-0001-54c4-0000-0000800e00aa","USD","IOC","-9","6.11","","","false","USER","CLOSED","6.39","5.51","","","0","2021-11-02 15:31:42","CFD"
"00000006-0001-54c4-0000-00008014096a","00000006-0001-54c4-0000-49f40000c998","20154198461011282","F","Ford Motor","00000006-0001-54c4-0000-000080140b8f","USD","IOC","-50","17.68","19","16.98","false","USER","CLOSED","37.5","32.34","","","0","2021-11-01 17:08:13","CFD"
"0018314c-0001-54c4-0000-000080231a3b","0018314c-0001-54c4-0000-49f100005474","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080232759","USD","IOC","-10","7.88","","","false","USER","CLOSED","-0.2","-0.17","","","0","2021-10-29 15:10:44","CFD"
"0018314c-0001-54c4-0000-0000802321e4","0018314c-0001-54c4-0000-49f100005475","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080232759","USD","IOC","-10","7.88","","","false","USER","CLOSED","4.8","4.15","","","0","2021-10-29 15:10:44","CFD"
"0018314c-0001-54c4-0000-000080232064","0018314c-0001-54c4-0000-49f100005473","20154198461011282","FCEL","FuelCell Energy, Inc.","0018314c-0001-54c4-0000-000080232759","USD","IOC","-10","7.88","","","false","USER","CLOSED","5.8","5.01","","","0","2021-10-29 15:10:44","CFD"
