tradeId,trade_type,trade_currency,opened_date,closed_date,price_1,price_2,price_1_in_euros,price_2_in_euros,quantity_1,quantity_2,purchase_price,sales_price,purchase_price_in_euros,sales_price_in_euros,profit_loss_in_original_currency,profit_loss_in_euros,profit_loss_in_euros_calculated
00000082-0001-54c4-0000-0000800fe692,LONG,USD,2021-06-23 08:10:48,2021-06-23 13:30:23,13.23,13.2,11.07020333026525,11.04510082838256,-10.0,10.0,132.0,132.3,110.45,110.7,0.3,0.25,0.25
00000082-0001-54c4-0000-0000800fd4c7,LONG,USD,2021-06-18 14:35:39,2021-06-22 16:54:33,13.43,13.38,11.287611363254328,11.245587493696421,-5.0,5.0,66.9,67.15,56.23,56.44,0.25,0.21,0.21
00000082-0001-54c4-0000-0000800fd472,LONG,USD,2021-06-18 14:17:54,2021-06-22 16:54:31,13.43,13.3,11.287611363254328,11.178349302403767,-1.0,1.0,13.3,13.43,11.18,11.29,0.13,0.11,0.11
00000082-0001-54c4-0000-0000800fd46a,LONG,USD,2021-06-18 14:17:50,2021-06-22 16:54:28,13.44,13.3,11.29601613716591,11.178349302403767,-1.0,1.0,13.3,13.44,11.18,11.3,0.14,0.12,0.12
00000082-0001-54c4-0000-0000800fd470,LONG,USD,2021-06-18 14:17:53,2021-06-22 16:54:25,13.45,13.3,11.304420911077491,11.178349302403767,-1.0,1.0,13.3,13.45,11.18,11.3,0.15,0.13,0.12
00000082-0001-54c4-0000-0000800fd46e,LONG,USD,2021-06-18 14:17:52,2021-06-22 16:54:21,13.46,13.3,11.312825684989075,11.178349302403767,-1.0,1.0,13.3,13.46,11.18,11.31,0.16,0.13,0.13
00000082-0001-54c4-0000-0000800fd46c,LONG,USD,2021-06-18 14:17:51,2021-06-22 16:54:18,13.46,13.3,11.312825684989075,11.178349302403767,-1.0,1.0,13.3,13.46,11.18,11.31,0.16,0.13,0.13
0015421d-0001-54c4-0000-00008061c207,LONG,USD,2021-06-22 13:57:10,2021-06-22 14:35:00,1749.65,1725.46,1471.0358163780058,1450.6978308390785,-0.05,0.05,86.27,87.48,72.53,73.55,1.21,1.02,1.02
00000082-0001-54c4-0000-0000800fd917,LONG,USD,2021-06-18 20:59:47,2021-06-21 12:46:32,12.96,12.86,10.892586989409986,10.808539250294167,-39.0,39.0,501.54,505.44,421.53,424.81,3.9,3.28,3.28
00000082-0001-54c4-0000-0000800fd61e,LONG,USD,2021-06-18 16:15:11,2021-06-21 12:22:59,13.04,13.0,10.959825180702639,10.926206085056313,-5.0,5.0,65.0,65.2,54.63,54.8,0.2,0.17,0.17
00000082-0001-54c4-0000-0000800fd6cc,LONG,USD,2021-06-18 16:48:34,2021-06-18 18:53:43,12.64,12.8,10.62363422423937,10.758110606824678,-10.0,10.0,128.0,126.4,107.58,106.24,-1.6,-1.35,-1.34
00000082-0001-54c4-0000-0000800fcd52,LONG,USD,2021-06-17 18:02:52,2021-06-17 18:27:01,13.36,13.3,11.192091815363995,11.141827929965654,-1.0,1.0,13.3,13.36,11.14,11.19,0.06,0.05,0.05
00000082-0001-54c4-0000-0000800fcd63,LONG,USD,2021-06-17 18:12:49,2021-06-17 18:26:59,13.36,13.3,11.192091815363995,11.141827929965654,-1.0,1.0,13.3,13.36,11.14,11.19,0.06,0.05,0.05
00000082-0001-54c4-0000-0000800fc9f0,LONG,USD,2021-06-17 14:48:25,2021-06-17 17:44:22,13.34,13.3,11.175337186897881,11.141827929965654,-5.0,5.0,66.5,66.7,55.71,55.88,0.2,0.17,0.17
